from,to,p_a_to_b,a_causes_b,p_b_to_a,b_causes_a,min_p
bronze_start_after_end_rows_lag1,bronze_survival_rate,0.9278097171787449,False,0.0002680182724184289,False,0.0002680182724184289
bronze_duplicate_rows_removed_lag1,silver_ml_imputed_fuel_std,0.8540185640310016,False,0.002331563319427631,False,0.002331563319427631
bronze_survival_rate_lag1,bronze_duplicate_rows_removed,0.013451717851904419,False,0.07430859322422294,False,0.013451717851904419
bronze_survival_rate_lag1,silver_ml_imputed_fuel_std_lag1,0.025951328609906482,False,0.9492130461828245,False,0.025951328609906482
bronze_survival_rate,silver_ml_imputed_fuel_std,0.03636829668572595,False,0.9751673847619599,False,0.03636829668572595
bronze_duration_mean,bronze_duration_std,0.09685098684125713,False,0.03927440195331159,False,0.03927440195331159
bronze_duration_mean_lag1,bronze_duration_std_lag1,0.10448430867477242,False,0.04214196461801892,False,0.04214196461801892
bronze_survival_rate_lag1,silver_ml_imputed_fuel_std,0.5782537520107162,False,0.04477447104530243,False,0.04477447104530243
silver_vehicle_info_join_miss_rate,silver_ingestion_duration_sec,0.8722576820336431,False,0.058137201410037864,False,0.058137201410037864
raw_temporal_coverage_hours_lag1,silver_ml_imputed_fuel_std,0.0674796807505629,False,0.7172508238984543,False,0.0674796807505629
bronze_duration_mean_lag1,bronze_survival_rate,0.34055961341810603,False,0.07780041959706155,False,0.07780041959706155
bronze_start_after_end_rows_lag1,silver_vehicle_info_join_miss_rate,0.10716997132611797,False,0.21025419726425476,False,0.10716997132611797
bronze_survival_rate_lag1,silver_vehicle_info_join_miss_rate,0.11155492729321563,False,0.14723812814788667,False,0.11155492729321563
bronze_duration_std_lag1,bronze_survival_rate,0.5571422860306521,False,0.13090748200464564,False,0.13090748200464564
raw_avg_speed_std,raw_temporal_coverage_hours,0.16378865971190162,False,0.2793870486254937,False,0.16378865971190162
bronze_duration_mean,silver_ml_imputed_fuel_std_lag1,0.16640326099267252,False,0.8277978798540684,False,0.16640326099267252
raw_ingestion_duration_sec,raw_avg_speed_std,0.17607667760584372,False,0.805893330713644,False,0.17607667760584372
bronze_survival_rate_lag1,silver_ingestion_duration_sec_lag1,0.8473320965990409,False,0.18014460745390765,False,0.18014460745390765
bronze_survival_rate_lag1,raw_temporal_coverage_hours,0.25376464801559023,False,0.1954249890188859,False,0.1954249890188859
bronze_duplicate_rows_removed_lag1,silver_ml_imputed_fuel_std_lag1,0.21134138844688183,False,0.36485343510940194,False,0.21134138844688183
bronze_start_after_end_rows_lag1,raw_avg_speed_std,0.2151732663950782,False,0.5783510827278272,False,0.2151732663950782
silver_ingestion_duration_sec_lag1,silver_ml_imputed_fuel_std,0.5783813904109265,False,0.2394622012139813,False,0.2394622012139813
bronze_duplicate_rows_removed,silver_ml_imputed_fuel_std,0.25533309108491514,False,0.47025587108882627,False,0.25533309108491514
bronze_start_after_end_rows_lag1,bronze_duplicate_rows_removed_lag1,0.269592807132415,False,0.6081134063247358,False,0.269592807132415
raw_ingestion_duration_sec_lag1,raw_avg_speed_std,0.8804276452885882,False,0.28893707539768293,False,0.28893707539768293
bronze_duration_std_lag1,raw_temporal_coverage_hours_lag1,0.35299521834689984,False,0.8112065026337881,False,0.35299521834689984
bronze_survival_rate_lag1,bronze_start_after_end_rows_lag1,0.5892643635384693,False,0.39027968793931933,False,0.39027968793931933
bronze_duration_mean_lag1,raw_temporal_coverage_hours_lag1,0.39642001358707457,False,0.6095179840594769,False,0.39642001358707457
bronze_survival_rate_lag1,raw_ingestion_duration_sec_lag1,0.4586916432755306,False,0.40210908026714876,False,0.40210908026714876
silver_vehicle_info_join_miss_rate,raw_temporal_coverage_hours_lag1,0.40301921610077285,False,0.7697222496314382,False,0.40301921610077285
raw_ingestion_duration_sec,bronze_survival_rate,0.40562101448485044,False,0.4588021704126004,False,0.40562101448485044
raw_ingestion_duration_sec_lag1,raw_temporal_coverage_hours,0.9643003077017875,False,0.4528826006026262,False,0.4528826006026262
bronze_duplicate_rows_removed_lag1,raw_temporal_coverage_hours,0.47388584269871237,False,0.8441571053669251,False,0.47388584269871237
raw_ingestion_duration_sec_lag1,silver_ml_imputed_fuel_std_lag1,0.5311289084095961,False,0.6988096373284858,False,0.5311289084095961
raw_avg_speed_std,silver_ingestion_duration_sec,0.5367008286435225,False,0.604421053278948,False,0.5367008286435225
raw_avg_speed_std,bronze_duplicate_rows_removed,0.5861075591085123,False,0.6413533887123222,False,0.5861075591085123
bronze_start_after_end_rows_lag1,silver_ml_imputed_fuel_std_lag1,0.6031484568118698,False,0.7033884434465667,False,0.6031484568118698
raw_temporal_coverage_hours,silver_ml_imputed_fuel_std,0.6863783605261101,False,0.6116908947898784,False,0.6116908947898784
bronze_duplicate_rows_removed,bronze_survival_rate,0.6238886809405733,False,0.9093104096029359,False,0.6238886809405733
bronze_survival_rate_lag1,bronze_duplicate_rows_removed_lag1,0.9284775311545204,False,0.6287214007248951,False,0.6287214007248951
silver_vehicle_info_join_miss_rate,bronze_duplicate_rows_removed_lag1,0.8004184945004348,False,0.6490832454561859,False,0.6490832454561859
silver_vehicle_info_join_miss_rate,silver_ml_imputed_fuel_std_lag1,0.9606977774848928,False,0.6922617858361162,False,0.6922617858361162
bronze_duplicate_rows_removed_lag1,silver_ingestion_duration_sec_lag1,0.9945565282839606,False,0.7132514466832578,False,0.7132514466832578
bronze_duplicate_rows_removed,silver_ingestion_duration_sec,0.970393433333169,False,0.7143820699614865,False,0.7143820699614865
raw_ingestion_duration_sec,bronze_duplicate_rows_removed,0.900520507532239,False,0.751572870586011,False,0.751572870586011
raw_ingestion_duration_sec_lag1,bronze_duplicate_rows_removed_lag1,0.8937108696424256,False,0.7545151911083776,False,0.7545151911083776
raw_temporal_coverage_hours,silver_ml_imputed_fuel_std_lag1,0.7761213902935784,False,0.9713532585311696,False,0.7761213902935784
raw_ingestion_duration_sec_lag1,silver_ingestion_duration_sec_lag1,0.8019848322357496,False,0.9842605777425601,False,0.8019848322357496
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.8036901211622639,False,0.9850928463285964,False,0.8036901211622639
silver_ml_imputed_fuel_std_lag1,silver_ml_imputed_fuel_std,0.9787716967264163,False,1.0,False,0.9787716967264163
raw_temporal_coverage_hours,raw_temporal_coverage_hours_lag1,1.0,False,1.0,False,1.0
p95_idling_per_100km,p50_idling_per_100km,1.0,False,1.0,False,1.0
p95_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
p50_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
