from,to,edge_type,weight,source
bronze_duration_std,raw_min_trip_start_ts,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,bronze_duration_std,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,directed,1.0,pc_raw
mean_idling_per_100km,bronze_idle_time_invalid_corrected,directed,1.0,pc_raw
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,directed,1.0,pc_raw
silver_avg_speed_imputed,raw_null_count_avg_speed,directed,1.0,pc_raw
raw_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,directed,1.0,pc_raw
silver_vehicle_info_join_miss_rate,bronze_mean_fuel_consumption_ecol,directed,1.0,pc_raw
bronze_mean_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecol,directed,1.0,pc_raw
silver_fuel_ecol_available,silver_avg_speed_imputed,directed,1.0,pc_raw
silver_fuel_ecol_available,bronze_excessive_daily_events_units,directed,1.0,pc_raw
silver_fuel_ecol_available,bronze_input_rows,directed,1.0,pc_raw
bronze_survival_rate,bronze_correction_trips_removed,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,raw_max_trip_end_ts,directed,1.0,pc_raw
raw_distance_mean,raw_std_fuel_consumption_ecor,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_mean,directed,1.0,pc_raw
silver_ml_prediction_mean,silver_ml_imputed_fuel_mean,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_mean,directed,1.0,pc_raw
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,directed,1.0,pc_raw
silver_vehicle_type_nulls,mean_fuel_per_100km,directed,1.0,pc_raw
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
bronze_survival_rate,bronze_correction_trips_removed,directed,1.0,pc_raw
bronze_survival_rate,bronze_excessive_daily_events_units,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,directed,1.0,pc_raw
raw_mean_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,pc_raw
raw_mean_fuel_consumption_ecor,raw_ingestion_duration_sec,directed,1.0,pc_raw
bronze_distance_km_mean,bronze_distance_km_std,directed,1.0,pc_raw
raw_max_trip_end_ts,bronze_distance_km_std,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,pc_raw
raw_mean_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,pc_raw
bronze_distance_km_std,bronze_distance_km_mean,directed,1.0,pc_raw
silver_avg_speed_imputed,raw_null_count_avg_speed,directed,1.0,pc_raw
silver_fuel_ecol_available,silver_avg_speed_imputed,directed,1.0,pc_raw
silver_avg_speed_imputed,raw_avg_speed_mean,directed,1.0,pc_raw
silver_fuel_ecol_available,bronze_excessive_daily_events_units,directed,1.0,pc_raw
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,directed,1.0,pc_raw
bronze_survival_rate,bronze_excessive_daily_events_units,directed,1.0,pc_raw
bronze_duration_std,bronze_duration_mean,directed,1.0,pc_raw
bronze_duration_std,raw_min_trip_start_ts,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,bronze_duration_std,directed,1.0,pc_raw
bronze_duration_std,bronze_duration_mean,directed,1.0,pc_raw
silver_ml_residual_std,bronze_std_fuel_consumption_ecor,directed,1.0,pc_raw
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,directed,1.0,pc_raw
silver_avg_speed_imputed,raw_avg_speed_mean,directed,1.0,pc_raw
raw_avg_speed_std,raw_avg_speed_mean,directed,1.0,pc_raw
silver_vehicle_type_nulls,mean_fuel_per_100km,directed,1.0,pc_raw
bronze_input_rows,mean_fuel_per_100km,directed,1.0,pc_raw
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,pc_raw
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,pc_raw
bronze_std_fuel_consumption_ecor,silver_ml_residual_std,directed,1.0,pc_raw
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed,1.0,pc_raw
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,pc_raw
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed,1.0,pc_raw
bronze_std_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,directed,1.0,pc_raw
mean_idling_per_100km,bronze_idle_time_invalid_corrected,directed,1.0,pc_raw
mean_idling_per_100km,raw_max_trip_end_ts,directed,1.0,pc_raw
mean_idling_per_100km,bronze_mean_fuel_consumption_ecor,directed,1.0,pc_raw
raw_std_fuel_consumption_ecor,raw_max_trip_end_ts,directed,1.0,pc_raw
bronze_distance_km_std,raw_max_trip_end_ts,directed,1.0,pc_raw
mean_idling_per_100km,raw_max_trip_end_ts,directed,1.0,pc_raw
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,directed,1.0,pc_raw
raw_mean_fuel_consumption_ecor,raw_ingestion_duration_sec,directed,1.0,pc_raw
silver_ingestion_duration_sec,raw_ingestion_duration_sec,directed,1.0,pc_raw
raw_avg_speed_mean,raw_avg_speed_std,directed,1.0,pc_raw
bronze_mean_fuel_consumption_ecol,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,pc_raw
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,pc_raw
silver_fuel_ecol_available,bronze_input_rows,directed,1.0,pc_raw
mean_fuel_per_100km,bronze_input_rows,directed,1.0,pc_raw
bronze_std_fuel_consumption_fms_high,bronze_input_rows,directed,1.0,pc_raw
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,pc_raw
bronze_std_fuel_consumption_fms_high,bronze_input_rows,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,1.0,pc_raw
silver_ml_prediction_mean,silver_ml_percentage_error_mean,directed,1.0,pc_raw
bronze_mean_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecol,directed,1.0,pc_raw
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,directed,1.0,pc_raw
mean_idling_per_100km,bronze_mean_fuel_consumption_ecor,directed,1.0,pc_raw
raw_distance_mean,raw_std_fuel_consumption_ecor,directed,1.0,pc_raw
