from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree,correlation
raw_avg_speed_mean,bronze_invalid_avg_speed_rows,0.6650728481847935,0.6650728481847935,1.0,structural_pattern,2,2,3,4,
bronze_distance_km_mean,silver_vehicle_info_join_miss_rate,0.6511385235309752,0.6511385235309752,1.0,structural_pattern,12,0,0,3,
raw_null_count_unit_id,bronze_null_primary_key_rows,0.6158109334452257,0.6158109334452257,1.0,structural_pattern,1,1,1,1,
bronze_distance_km_mean,bronze_survival_rate,0.34730604146162125,0.34730604146162125,1.0,structural_pattern,12,0,2,3,
raw_ingestion_duration_sec,bronze_ingestion_duration_sec,0.3126759370582365,0.3126759370582365,1.0,structural_pattern,1,1,1,2,
raw_null_count_gps_coverage,bronze_excessive_daily_events_units,0.3044468484019832,0.3044468484019832,0.0,isolation_recovery,1,0,2,2,0.3044468484019832
bronze_distance_km_mean,p95_idling_per_100km,0.28631722693333467,0.28631722693333467,1.0,structural_pattern,12,0,0,1,
bronze_distance_km_mean,raw_null_count_avg_speed,-0.20134193820481877,0.20134193820481877,1.0,structural_pattern,12,0,2,2,
bronze_distance_km_mean,silver_avg_speed_imputed,-0.18625723505405764,0.18625723505405764,1.0,structural_pattern,12,0,0,3,
bronze_distance_km_mean,bronze_invalid_avg_speed_rows,-0.17380963007327546,0.17380963007327546,1.0,structural_pattern,12,0,3,4,
bronze_duration_mean,silver_ingestion_duration_sec,-0.14555417070246507,0.14555417070246507,1.0,structural_pattern,9,0,1,1,
bronze_distance_km_mean,p95_fuel_per_100km,-0.13055387269762214,0.13055387269762214,1.0,structural_pattern,12,0,0,1,
bronze_duration_mean,bronze_invalid_avg_speed_rows,0.12794269086594873,0.12794269086594873,1.0,structural_pattern,9,0,3,4,
bronze_distance_km_mean,raw_null_count_max_speed,-0.12269649809670795,0.12269649809670795,1.0,structural_pattern,12,0,0,2,
raw_null_count_avg_speed,bronze_invalid_avg_speed_rows,0.07655699454917801,0.07655699454917801,1.0,structural_pattern,2,2,3,4,
bronze_duration_mean,raw_avg_speed_mean,0.07022734999710181,0.07022734999710181,1.0,structural_pattern,9,0,2,2,
bronze_distance_km_mean,raw_avg_speed_mean,-0.05409149539607528,0.05409149539607528,1.0,structural_pattern,12,0,2,2,
bronze_duration_mean,raw_avg_speed_std,0.03889151392995305,0.03889151392995305,1.0,structural_pattern,9,0,0,3,
bronze_distance_km_mean,bronze_distance_km_std,0.020374675555893583,0.020374675555893583,1.0,bootstrap_stable,12,0,1,1,
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.02033977286125006,0.02033977286125006,1.0,bootstrap_stable,1,1,0,1,
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,0.020294306221832436,0.020294306221832436,1.0,bootstrap_stable,2,2,2,2,
silver_ml_prediction_mean,silver_ml_prediction_std,0.020242617840760382,0.020242617840760382,1.0,bootstrap_stable,3,0,0,2,
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,0.0202215882952952,0.0202215882952952,1.0,bootstrap_stable,2,1,0,3,
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.020207529065650223,0.020207529065650223,1.0,bootstrap_stable,2,2,2,1,
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.0202004507229369,0.0202004507229369,1.0,bootstrap_stable,1,1,2,2,
bronze_distance_km_std,raw_max_trip_end_ts,0.020179769180835923,0.020179769180835923,1.0,bootstrap_stable,1,1,2,1,
silver_ml_prediction_mean,silver_ml_residual_mean,-0.0201732056477012,0.0201732056477012,1.0,bootstrap_stable,3,0,1,1,
bronze_null_primary_key_rows,raw_null_count_start,0.019958686270534202,0.019958686270534202,1.0,bootstrap_stable,1,1,0,1,
silver_ml_prediction_mean,silver_ml_residual_std,0.019755298927949968,0.019755298927949968,1.0,bootstrap_stable,3,0,0,2,
silver_ml_large_error_count,silver_ml_residual_std,0.019734853347208113,0.019734853347208113,1.0,bootstrap_stable,2,1,0,2,
raw_max_trip_end_ts,raw_distance_std,0.019621563145332088,0.019621563145332088,1.0,bootstrap_stable,2,1,0,1,
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,0.01959344092490347,0.01959344092490347,1.0,bootstrap_stable,3,4,0,3,
raw_null_count_avg_speed,raw_null_count_idle_time,0.019567970928701727,0.019567970928701727,1.0,bootstrap_stable,2,2,1,1,
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,0.019445238529712215,0.019445238529712215,1.0,bootstrap_stable,1,1,1,2,
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,0.019240585491111274,0.019240585491111274,1.0,bootstrap_stable,3,4,2,2,
bronze_invalid_avg_speed_rows,silver_vehicle_type_nulls,0.01922789846999501,0.01922789846999501,1.0,bootstrap_stable,3,4,2,2,
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,0.019189267559294867,0.019189267559294867,1.0,bootstrap_stable,2,2,1,1,
bronze_duration_mean,bronze_duration_std,0.01904422709605182,0.01904422709605182,1.0,bootstrap_stable,9,0,2,1,
bronze_excessive_daily_events_units,bronze_survival_rate,0.0189679224989278,0.0189679224989278,1.0,bootstrap_stable,2,2,2,3,
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,0.018866133434202813,0.018866133434202813,1.0,bootstrap_stable,2,2,0,3,
bronze_distance_km_mean,raw_avg_speed_std,-0.018755216486894245,0.018755216486894245,1.0,structural_pattern,12,0,0,3,
bronze_survival_rate,bronze_correction_trips_removed,-0.018523618072440618,0.018523618072440618,1.0,bootstrap_stable,2,3,0,1,
bronze_survival_rate,bronze_start_after_end_rows,-0.018086532693131936,0.018086532693131936,1.0,bootstrap_stable,2,3,0,1,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.01713743842666908,0.01713743842666908,1.0,bootstrap_stable,9,0,2,2,
bronze_ingestion_duration_sec,raw_null_count_unit_id,0.017011255719678518,0.017011255719678518,1.0,bootstrap_stable,1,2,1,1,
raw_avg_speed_mean,raw_avg_speed_std,0.01631978821815484,0.01631978821815484,1.0,bootstrap_stable,2,2,0,3,
bronze_duration_std,raw_temporal_coverage_hours,0.015435112248765634,0.015435112248765634,1.0,bootstrap_stable,2,1,0,1,
bronze_duration_std,bronze_survival_rate,0.015080201913646613,0.015080201913646613,1.0,bootstrap_stable,2,1,2,3,
raw_null_count_idle_time,bronze_idle_time_invalid_corrected,-0.015020742803733902,0.015020742803733902,1.0,structural_pattern,1,1,0,2,
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.014909012792856455,0.014909012792856455,0.99,bootstrap_stable,2,2,0,2,
silver_ml_large_error_count,silver_ml_prediction_std,-0.013902469322960109,0.013902469322960109,1.0,bootstrap_stable,2,1,0,2,
bronze_duration_mean,raw_null_count_avg_speed,-0.013765696631567058,0.013765696631567058,1.0,structural_pattern,9,0,2,2,
bronze_duration_mean,raw_null_count_max_speed,-0.011907079209793454,0.011907079209793454,1.0,structural_pattern,9,0,0,2,
bronze_duration_mean,silver_avg_speed_imputed,-0.011058066443361726,0.011058066443361726,1.0,structural_pattern,9,0,0,3,
bronze_distance_km_mean,raw_ingestion_duration_sec,0.008084580586129746,0.008084580586129746,1.0,bootstrap_stable,12,0,1,1,
