date,bronze_start_after_end_rows_lag1,bronze_duration_mean_lag1,p95_idling_per_100km,p50_idling_per_100km,mean_idling_per_100km,raw_avg_speed_std,bronze_duration_std_lag1,silver_vehicle_info_join_miss_rate,bronze_survival_rate,bronze_duration_mean,silver_vehicle_info_join_miss_rate_lag1,silver_ml_imputed_fuel_std_lag1,bronze_survival_rate_lag1,bronze_duration_std
2025-12-03,0.7420139127200082,0.4099110392448452,-0.46638648573132363,-0.46638648573132363,-0.46638648573132363,-0.13879344255810222,0.5167861188626268,0.2297189846109923,-0.05510042829592083,-0.45466450093705096,0.29572505945514593,0.5858777008968343,-0.4452131596442644,-0.6146014920493906
2025-12-04,0.7420139127200082,-0.45466450093705096,-0.4318286980403652,-0.4318286980403652,-0.4318286980403652,0.3802840976662292,-0.6146014920493906,0.5227796344099608,-0.1953760728141266,-0.4475680202821806,0.2297189846109923,-2.068669892212498,-0.05510042829592083,-0.6204445489444127
2025-12-05,1.9136148275410738,-0.4475680202821806,0.10277160715892815,0.10277160715892815,0.10277160715892815,1.4859157735099522,-0.6204445489444127,0.7632842518650652,-0.9183830598275761,-0.6550415454679811,0.5227796344099608,0.506989624753634,-0.1953760728141266,-0.8415361796349385
2025-12-06,0.35148027444631963,-0.6550415454679811,-0.32478521649719483,-0.32478521649719483,-0.32478521649719483,-0.9346853374406769,-0.8415361796349385,-1.6865640230468475,0.8492714644615011,-0.7071621263292248,0.7632842518650652,0.308046494372781,-0.9183830598275761,-0.7618579327370684
2025-12-07,-0.03905336382736889,-0.7071621263292248,-0.8212840757612275,-0.8212840757612275,-0.8212840757612275,-1.1640670655514906,-0.7618579327370684,-0.7488013889567675,1.9591857826853925,0.5791672709206611,-1.6865640230468475,0.39034508774448007,0.8492714644615011,0.6462638249611008
2025-12-08,-0.42958700210105744,0.5791672709206611,-0.7293705167474781,-0.7293705167474781,-0.7293705167474781,2.162639957538089,0.6462638249611008,-0.6897668792635372,1.3652676128795496,-0.4073239095445915,-0.7488013889567675,0.9264465396993267,1.9591857826853925,-0.5905550059414335
2025-12-09,-0.03905336382736889,-0.4073239095445915,-0.6191072886737147,-0.6191072886737147,-0.6191072886737147,0.728388004323688,-0.5905550059414335,0.5433452512952031,-0.049223186785965115,-0.11728182769666554,-0.6897668792635372,0.5039351818206589,1.3652676128795496,-0.12053679951540339
2025-12-10,-0.42958700210105744,-0.11728182769666554,-0.8544392832777468,-0.8544392832777468,-0.8544392832777468,0.3779544109136323,-0.12053679951540339,0.7590902201177872,-0.14451188079406294,-0.6503687497189321,0.5433452512952031,0.5391188459373858,-0.049223186785965115,-0.9057517851374008
2025-12-11,-0.820120640374746,-0.6503687497189321,-0.8792685138720695,-0.8792685138720695,-0.8792685138720695,-0.3039939454318006,-0.9057517851374008,1.0279848044034159,0.04583753818025402,-0.20781433107624686,0.7590902201177872,-2.0981101372208846,-0.14451188079406294,-0.2479068963150049
2025-12-12,0.7420139127200082,-0.20781433107624686,-0.48915764310323323,-0.48915764310323323,-0.48915764310323323,1.0380299400557091,-0.2479068963150049,0.9863949818840682,-0.695371085449392,-0.10496288619763953,1.0279848044034159,0.5360014495571326,0.04583753818025402,-0.02609370709869979
2025-12-13,-0.820120640374746,-0.10496288619763953,-0.7468045392398424,-0.7468045392398424,-0.7468045392398424,-0.16386352428203316,-0.02609370709869979,-0.5029951729725434,0.776658849562981,-0.7184845399486253,0.9863949818840682,0.3139453314099316,-0.695371085449392,-0.7701950941778444
2025-12-14,-0.42958700210105744,-0.7184845399486253,-1.319575423990017,-1.319575423990017,-1.319575423990017,-0.7251950480534741,-0.7701950941778444,-1.1626462293867406,1.206887243517617,1.0077888699718511,-0.5029951729725434,0.34509677177341125,0.776658849562981,1.1121046724037238
2025-12-15,-0.820120640374746,1.0077888699718511,-0.5416906014543815,-0.5416906014543815,-0.5416906014543815,1.8664516395038653,1.1121046724037238,0.9270920913435868,0.28110316750857123,-0.12492683169094133,-1.1626462293867406,1.0792908555435083,1.206887243517617,-0.13867586388471698
2025-12-16,-0.42958700210105744,-0.12492683169094133,-0.536354586496409,-0.536354586496409,-0.536354586496409,0.2529953414140131,-0.13867586388471698,0.8471425640388434,-0.026944115127035404,-0.4367928567746644,0.9270920913435868,0.5117778767215874,0.28110316750857123,-0.5965321227133212
2025-12-17,-0.42958700210105744,-0.4367928567746644,-0.7075734265486521,-0.7075734265486521,-0.7075734265486521,1.1516690331839714,-0.5965321227133212,0.9684398900048314,0.17625730265494088,-0.09388788585459341,0.8471425640388434,0.6464837462934546,-0.026944115127035404,-0.09079856303480353
2025-12-18,1.9136148275410738,-0.09388788585459341,-0.8212553737317118,-0.8212553737317118,-0.8212553737317118,1.8705639474328355,-0.09079856303480353,1.1371170142602491,-0.4933523590733002,-0.11364975999485953,0.9684398900048314,-2.072308201983508,0.17625730265494088,-0.08102711022665601
2025-12-19,-0.03905336382736889,-0.11364975999485953,-0.32481639476589497,-0.32481639476589497,-0.32481639476589497,0.1304885053756263,-0.08102711022665601,1.169883892089324,-0.6547523857107281,-0.1861191879419729,1.1371170142602491,0.47956187429992186,-0.4933523590733002,-0.07773738822894605
2025-12-20,-0.820120640374746,-0.1861191879419729,-0.1812839269413571,-0.1812839269413571,-0.1812839269413571,-0.15351155214265017,-0.07773738822894605,-0.9000008818489822,0.45618723339770834,-0.5015205019506636,1.169883892089324,0.1480084212819511,-0.6547523857107281,-0.4125965555921613
2025-12-21,-0.42958700210105744,-0.5015205019506636,-0.4097000629823753,-0.4097000629823753,-0.4097000629823753,-1.488238392203905,-0.4125965555921613,-2.261369405582015,1.1948799503667622,-0.3714058459832187,-0.9000008818489822,0.19663093256952183,0.45618723339770834,-0.2731045293016168
2025-12-22,-0.820120640374746,-0.3714058459832187,-0.07376091915738198,-0.07376091915738198,-0.07376091915738198,-0.22685852552912528,-0.2731045293016168,0.05961841080389478,-0.8363520443046022,0.40269470745657865,-2.261369405582015,0.6647860309089111,1.1948799503667622,0.6672747520508495
2025-12-23,0.7420139127200082,0.40269470745657865,0.14393301614174575,0.14393301614174575,0.14393301614174575,0.5597881598146407,0.6672747520508495,-0.018544372545072983,-1.303866308664524,-0.5526935879501538,0.05961841080389478,0.3447302398456794,-0.8363520443046022,-0.46379272619876005
2025-12-24,0.35148027444631963,-0.5526935879501538,1.6611612724902143,1.6611612724902143,1.6611612724902143,-1.0696098963298935,-0.46379272619876005,-1.503649079075327,-0.6999076219573486,1.1412306730521342,-0.018544372545072983,0.14777067583156622,-1.303866308664524,1.5538577546567445
2025-12-25,-0.820120640374746,1.1412306730521342,2.101525034773004,2.101525034773004,2.101525034773004,-0.8201292371426673,1.5538577546567445,-0.14424823768358325,0.48825436658933674,4.543947764036264,-1.503649079075327,-3.19184612668103,-0.6999076219573486,3.9516751418432126
2025-12-26,-0.820120640374746,4.543947764036264,1.8356500550595571,1.8356500550595571,1.8356500550595571,-1.1553608030352387,3.9516751418432126,1.2307149348624344,-3.496384398751707,-0.9978200816623276,-0.14424823768358325,-0.7061152237868377,0.48825436658933674,-0.9056272981191523
2025-12-27,3.475749380635828,-0.9978200816623276,2.786525795379145,2.786525795379145,2.786525795379145,0.06910337226786355,-0.9056272981191523,-0.9176923844111808,1.2076825551412735,0.7226699754901685,1.2307149348624344,-0.399381996037133,-3.496384398751707,1.0826496732585613
2025-12-28,-0.42958700210105744,0.7226699754901685,0.6942466117207308,0.6942466117207308,0.6942466117207308,-1.2085580780245355,1.0826496732585613,-2.089281437225608,-0.0829309299700174,-1.1632213648105472,-0.9176923844111808,-0.12244551888033589,1.2076825551412735,-1.6487184417973515
2025-12-29,-1.2106542786484344,-1.1632213648105472,1.2792406921513497,1.2792406921513497,1.2792406921513497,-1.2597860952370767,-1.6487184417973515,0.509553034609634,0.6147394433875887,0.013836343387757877,-2.089281437225608,0.6238444289994649,-0.0829309299700174,0.18613138745391047
2025-12-30,-0.820120640374746,0.013836343387757877,1.1105988360661625,1.1105988360661625,1.1105988360661625,-1.0102814708220789,0.18613138745391047,0.46441502384623373,-0.556103322227509,0.016994607631076557,0.509553034609634,0.1938802959370014,0.6147394433875887,0.2525998227367605
